FinDate,Institutional_sector_name,Institutional_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Status,Values
2008-12-31,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,REVISED,-379
2009-12-31,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,REVISED,-69
2010-12-31,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,REVISED,-298
2011-12-31,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,FINAL,-224
2012-12-31,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,REVISED,-152
2013-12-31,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,REVISED,-472
2014-12-31,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,REVISED,-339
2015-12-31,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,REVISED,-111
2016-12-31,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,REVISED,-259
2017-12-31,Corporate business enterprises,141,Capital Account Net transactions in non-produced non-financial assets Net purchases of land,NP01000,AN20000,FINAL,-324
2008-12-31,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,-8
2009-12-31,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,-1145
2010-12-31,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,-34
2011-12-31,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,-81
2012-12-31,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,-75
2013-12-31,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,2
2014-12-31,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,-76
2015-12-31,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,234
2016-12-31,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,REVISED,-340
2017-12-31,Corporate business enterprises,141,"Capital Account Net transactions in non-produced non-financial assets Purchases of non-produced non-financial assets, net",NP02000,AN20000,FINAL,-67
2008-12-31,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,REVISED,-387
2009-12-31,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,REVISED,-1214
2010-12-31,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,REVISED,-332
2011-12-31,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,FINAL,-305
2012-12-31,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,REVISED,-227
2013-12-31,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,REVISED,-470
2014-12-31,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,REVISED,-415
2015-12-31,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,REVISED,123
2016-12-31,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,REVISED,-599
2017-12-31,Corporate business enterprises,141,Capital Account Total net transactions in non-produced non-financial assets,NP00000,AN20000,FINAL,-391
2008-12-31,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,FINAL,-1451
2009-12-31,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,FINAL,-1847
2010-12-31,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,REVISED,4232
2011-12-31,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,REVISED,957
2012-12-31,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,REVISED,359
2013-12-31,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,REVISED,1802
2014-12-31,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,REVISED,5487
2015-12-31,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,REVISED,6773
2016-12-31,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,REVISED,7118
2017-12-31,Corporate business enterprises,141,ISA Saving (net),B08N000,ISA,FINAL,4715
2008-12-31,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-267
2009-12-31,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-196
2010-12-31,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-178
